Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
677d600a2360e50c2d5c7dae,677c4c51d447a563bb952334,RETURNED,Not Applicable,2025-01-07T17:10:58.491000Z,,,2025-04-11T13:48:17.554684Z,,,89,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
677d600efd61a4ae1e30a2f5,677c61d37ba0065236b1cb86,RETURNED,Not Applicable,2025-01-07T17:10:45.274000Z,,,2025-04-11T13:48:17.637627Z,,,27,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
677d60193942da9b5e1acbce,63e40d7b1a88578e3c993478,APPROVED,Not Applicable,2025-01-07T17:13:35.593000Z,2025-01-07T18:07:25.628000Z,2025-01-09T15:44:24.682000Z,2025-01-07T18:07:26.337289Z,3231.0,CJFYZJY7,863,34,Female,Black,Dominican Republic,United States,Dominican Republic,English,DATA_EXPIRED,DATA_EXPIRED
677d608236f0f649f1441d73,677b177da6c75e1c1a0d8c5f,APPROVED,Not Applicable,2025-01-07T17:13:51.013000Z,2025-01-07T18:17:35.976000Z,2025-01-09T15:44:25.306000Z,2025-01-07T18:17:53.288872Z,3825.0,CJFYZJY7,1,34,Female,White,United States,United States,United States,English,No,Part-Time
677d61e62b973fafc5e884f8,677d4c93ad851361ba0d3647,TIMED-OUT,Not Applicable,2025-01-07T17:18:34.878000Z,,,2025-04-11T13:48:17.655675Z,8108983.0,,3,22,Female,White,Afghanistan,United States,United States,Dari,Yes,DATA_EXPIRED
677d6709360912cc38cf7109,6743a27eda56d91031757fdc,APPROVED,Not Applicable,2025-01-07T17:40:30.758000Z,2025-01-07T18:36:23.097000Z,2025-01-09T15:44:22.380000Z,2025-01-07T18:36:25.565659Z,3353.0,CJFYZJY7,150,24,Male,Black,Nigeria,United States,United States,English,No,DATA_EXPIRED
677d6c0402f6b35930c46ebc,6751e21bab5bb259997e4c67,APPROVED,Not Applicable,2025-01-07T18:02:01.721000Z,2025-01-07T19:03:37.888000Z,2025-01-09T15:44:26.351000Z,2025-01-07T19:03:38.542476Z,3697.0,CJFYZJY7,88,27,Female,Black,United States,United States,United States,English,No,DATA_EXPIRED
677d71c38e5e903a70816519,67628f7b4f57e91918c49e72,APPROVED,Not Applicable,2025-01-07T18:26:25.878000Z,2025-01-07T19:32:54.127000Z,2025-01-09T15:44:27.005000Z,2025-01-07T19:32:55.807463Z,3989.0,CJFYZJY7,37,36,Female,White,United States,United States,United States,English,No,Full-Time
677d733b2499217e7e6fd753,67055efcc9d6595c24d60bb5,APPROVED,Not Applicable,2025-01-07T18:37:26.714000Z,2025-01-07T19:34:44.869000Z,2025-01-09T15:44:23.369000Z,2025-01-07T19:34:47.318379Z,3439.0,CJFYZJY7,535,31,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
677d7d40d28a4785a8193150,628d14b52b5bd1d83ed1f7d2,RETURNED,Not Applicable,2025-01-07T19:25:12.751000Z,,,2025-04-11T13:48:17.623971Z,,,4749,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
677d7d601cabd8539d9e8de9,6745171138a79bddfee4e965,APPROVED,Not Applicable,2025-01-07T19:16:01.635000Z,2025-01-07T20:06:44.456000Z,2025-01-09T15:44:27.655000Z,2025-01-07T20:06:45.531881Z,3043.0,CJFYZJY7,248,50,Female,White,United States,United States,United States,English,No,Part-Time
