Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66f852e41d75c8f63ab5b2f9,663a2ac123a1fd032c209e27,RETURNED,Not Applicable,2024-09-28T19:03:05.680000Z,,,2024-12-10T14:30:52.084016Z,,,49,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66f852f9aa1c87cac0325ece,60d7922fc3809c404939251c,APPROVED,Not Applicable,2024-09-28T19:03:30.076000Z,2024-09-28T19:51:30.443000Z,2024-10-02T11:12:52.585000Z,2024-09-28T19:52:53.512711Z,2881.0,CJFYZJY7,189,21,Female,White,United States,United States,United States,English,Yes,Other
66f8534dc79d970636a04d9c,66f1bf81a25b91ae7b194ce5,RETURNED,Not Applicable,2024-09-28T19:04:59.647000Z,,,2024-12-10T14:30:52.084914Z,,,443,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66f853501264e5755fbc839a,5a9353586219a30001d2f2af,APPROVED,Not Applicable,2024-09-28T19:08:00.073000Z,2024-09-28T19:57:25.275000Z,2024-10-02T11:12:52.903000Z,2024-09-28T19:57:26.096129Z,2966.0,CJFYZJY7,462,37,Female,Black,United States,United States,United States,English,No,Other
66f8535e61a29f95231692fe,660d619f39d061875f78ac8c,APPROVED,Not Applicable,2024-09-28T19:05:10.853000Z,2024-09-28T19:51:55.722000Z,2024-10-02T11:12:47.647000Z,2024-09-28T19:52:54.403270Z,2805.0,CJFYZJY7,191,19,Male,White,United States,United States,United States,English,Yes,Part-Time
66f8537a4a69bc076010ecf7,612e34e4b5620daaa3e7163a,TIMED-OUT,Not Applicable,2024-09-28T19:05:39.874000Z,,,2024-12-10T14:30:52.086365Z,6290713.0,,229,30,Female,White,United States,United States,United States,English,Yes,DATA_EXPIRED
66f853e27bc711860fd8e493,667ad18688c9319e6559bdc4,APPROVED,Not Applicable,2024-09-28T19:07:59.453000Z,2024-09-28T19:45:42.764000Z,2024-10-02T11:12:53.234000Z,2024-09-28T19:46:02.068347Z,2264.0,CJFYZJY7,294,37,Female,White,United States,United States,United States,English,No,Full-Time
66f8549d0ac678be5c01c10d,669ede47eb98d478aff45414,APPROVED,Not Applicable,2024-09-28T19:10:28.599000Z,2024-09-28T20:11:40.633000Z,2024-10-02T11:12:47.982000Z,2024-09-28T20:11:41.576520Z,3673.0,CJFYZJY7,194,21,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
66f854b62193c3a8c5c9d0ee,66eeda2bc7d6e9b92b4a81c0,APPROVED,Not Applicable,2024-09-28T19:11:22.617000Z,2024-09-28T20:48:02.504000Z,2024-10-02T11:12:53.564000Z,2024-09-28T20:50:07.053762Z,5800.0,CJFYZJY7,2,38,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66f854c8e1225a004ffc0051,5d5b67ab9ad5a300181398dc,APPROVED,Not Applicable,2024-09-28T19:11:10.895000Z,2024-09-28T19:59:06.870000Z,2024-10-02T11:12:48.332000Z,2024-09-28T19:59:07.549070Z,2876.0,CJFYZJY7,2287,38,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66f8553b9229acdc97ef6596,6165e6f471254e3af05c5057,APPROVED,Not Applicable,2024-09-28T19:13:04.674000Z,2024-09-28T19:54:52.156000Z,2024-10-02T11:12:48.651000Z,2024-09-28T19:55:21.926147Z,2508.0,CJFYZJY7,618,38,Male,Black,United States,United States,United States,English,No,DATA_EXPIRED
