Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66c4b9bad944c16c44d55396,5f89906b2a26920554a2c651,APPROVED,Not Applicable,2024-08-20T15:44:00.996000Z,2024-08-20T16:41:00.063000Z,2024-08-21T14:23:49.144000Z,2024-08-20T16:41:16.716212Z,3420.0,NOCODE,3291,44,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66c4bbe7dc47a3ad25910044,60dc4e2299f89a7ca94b2c91,APPROVED,Not Applicable,2024-08-20T15:53:44.881000Z,2024-08-20T17:32:52.292000Z,2024-08-21T14:23:46.188000Z,2024-08-21T14:23:56.220917Z,5948.0,NOCODE,2082,46,Male,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66c4b992101783cf851a831a,5eaa7663b7e2db224a8d43a0,RETURNED,Not Applicable,2024-08-20T15:43:19.787000Z,,,,,,797,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
